index,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,y
3231,0.0,8,20,17,0.0,17,-88888.0,-88888.0,9,7,0.0,7,17,2,-88888,2,1,20.0,54.0,10.0,1
200,51600.0,15,244,33,0.0,52,1636.363636,3915.15625,37,28,80.0,14,152,13,10,55,56,5600.5,14772.33,2800.25,0
3068,140000.0,19,77,35,0.0,77,38888.88889,29887.5,44,4,0.0,2,77,0,0,0,0,504.0,2034.67,429.33,0
5023,151366.69,2,65,17,0.0,20,7400.0,9734.375,5,7,7366.69,8,42,1,1,4,3,34.0,132.22,17.94,0
7959,130299.0,5,112,67,0.0,33,2684.210526,2147.619048,12,9,92579.0,6,112,12,9,21,22,294.0,1302.0,59.5,1
3517,18000.0,3,92,19,0.0,71,1230.769231,1051.8,21,5,5020.0,6,92,24,22,14,19,72.0,456.0,56.0,1
337,150058.05,44,929,279,0.0,210,15102.40506,19704.40559,174,71,150058.05,12,561,51,28,230,230,63840.0,129504.0,18216.62,0
6154,0.0,5,41,5,0.0,9,-88888.0,922.2222222,8,5,0.0,7,36,4,1,8,3,36.0,92.57,21.43,1
3586,0.0,12,5,5,0.0,5,-88888.0,-88888.0,13,3,0.0,18,5,0,-88888,0,0,29.0,90.22,38.67,1
1821,55502.7,25,19,2,0.0,18,2437.5,3314.912281,62,10,762.7,2,19,0,0,0,0,20.5,37.25,8.12,1
7489,5817.8,30,79,59,0.0,34,1113.75,2609.117647,85,28,3207.8,4,79,25,10,34,39,11260.0,30965.0,5461.1,0
1102,220019.36,32,629,303,0.0,214,13140.0,26163.88968,90,43,46879.36,12,599,37,13,85,89,3523.5,15122.08,1317.81,0
3571,154680.0,-88888,43,35,0.0,8,-88888.0,16192.30769,18,9,2680.0,4,43,0,0,1,2,1308.0,2834.0,806.6,1
4559,94288.8,1,25,19,0.0,15,6721.666667,17476.5,2,3,88.8,4,25,1,1,1,1,46.0,128.8,11.5,0
3926,15007.5,0,16,12,0.0,11,226.6666667,330.4761905,3,2,12947.1,4,16,11,5,16,17,332.0,2282.5,145.25,0
5556,50.0,1,75,4,2.5,2,-88888.0,1500.0,9,3,50.0,6,52,0,0,4,3,36.0,109.0,15.0,1
5262,36102.0,11,111,72,0.0,99,4288.75,1884.240506,25,2,222.77,4,111,57,29,41,54,3024.0,34876.8,2620.8,0
256,29370.0,90,146,93,0.0,59,685.3125,1051.911765,152,127,200.0,6,146,49,9,77,71,4773.0,8705.57,2886.0,1
906,127431.75,8,914,274,0.0,203,15725.7377,13395.42254,32,18,3750.75,10,681,19,9,76,76,7485.0,39965.36,2676.45,0
5988,146995.73,109,683,271,0.0,211,41255.21429,33670.09483,304,420,0.73,9,413,4,1,8,9,3212.0,4501.2,1452.0,0
1089,43959.11,21,663,354,0.0,234,41040.17857,22562.17203,75,40,16930.6,6,663,92,57,152,161,27036.0,119730.86,7831.86,0
35,80388.95,42,1093,565,0.0,337,13570.90909,36142.26048,159,157,41090.95,6,1093,97,52,150,159,70080.0,220251.43,22692.57,0
1815,5004.0,1,4,2,0.0,4,571.4285714,500.0,2,0,4.0,2,4,2,2,0,0,4.5,10.5,1.25,1
619,30500.2,1,168,62,0.0,16,1000.0,702.4,10,11,0.2,7,149,14,2,56,63,1275.0,5631.25,382.5,1
3791,109004.52,0,178,35,0.0,36,20695.65217,13950.0,47,18,8204.52,14,76,0,0,11,13,410.0,881.5,109.33,1
7769,68770.0,1,53,34,0.0,25,11428.57143,6755.0,7,1,20000.0,5,53,1,1,10,4,270.0,1980.0,210.0,0
253,113438.51,30,725,266,0.0,173,11292.28571,8576.040268,78,79,12218.51,10,603,34,15,92,92,7854.0,21800.8,2499.0,0
4484,17090.0,3,80,63,0.0,55,-88888.0,3163.636364,11,4,190.0,3,80,32,10,15,27,792.0,3402.67,176.0,1
5805,20000.0,-88888,15,-88888,0.0,12,-88888.0,1360.0,2,3,0.0,5,15,1,1,2,3,15.0,51.0,6.0,0
4470,5937.45,0,6,0,0.0,5,1291.666667,1029.411765,7,0,26.61,4,6,4,3,5,3,11.0,66.0,11.0,1
4954,18002.0,21,130,76,0.0,67,0.0,937.7358491,51,44,5542.0,6,130,26,12,22,30,2460.0,4761.86,975.21,1
3769,40.0,4,46,44,0.0,22,20.0,10.0,19,5,40.0,3,46,9,1,5,10,402.0,1189.25,184.25,0
4511,100730.0,5,94,40,0.0,74,527.7777778,1948.711656,16,6,10.0,4,94,11,9,12,11,532.0,3572.0,136.8,1
3306,21634.05,6,102,56,0.0,35,-88888.0,3494.722222,37,11,21134.05,7,90,2,1,3,3,396.0,693.0,132.0,0
5521,206846.0,5,77,45,0.0,49,0.0,8732.544304,25,7,90146.0,4,77,46,35,43,46,1150.0,5750.0,621.0,1
6293,26664.56,13,271,195,0.0,140,2088.387097,4088.597561,82,27,1814.56,4,271,58,47,28,63,4833.0,13854.6,1700.5,0
5447,10841.55,20,208,125,0.0,150,18465.0,44422.79167,55,14,3221.36,4,208,24,10,25,23,559.0,2356.4,221.45,0
738,26040.0,2,142,76,0.0,50,1385.714286,1946.825397,42,14,12836.0,6,142,41,25,77,90,2497.0,9242.14,1378.21,1
3234,314770.0,9,165,55,0.0,160,4595.833333,7995.801105,20,5,9210.0,11,164,40,29,25,32,95.0,3365.71,203.57,0
6877,349510.0,13,131,81,0.0,61,24269.23077,18161.31148,48,10,610.0,6,131,14,8,16,14,1296.0,2838.86,540.0,0
3302,550.0,3,99,61,0.0,14,100.0,183.3333333,16,18,0.0,10,71,1,0,5,5,195.0,728.0,130.0,0
5947,30161.8,-88888,10,2,0.0,7,1433.333333,895.8333333,3,2,686.8,5,10,1,1,2,3,264.0,756.8,61.6,0
5998,190330.0,9,215,118,0.0,165,20966.33333,11120.65574,30,14,70540.0,8,205,43,20,32,37,1415.0,16201.75,689.81,0
7488,39535.0,-88888,40,16,0.0,10,3162.5,4027.272727,7,6,235.0,8,39,4,4,26,23,62.0,232.5,29.06,1
3869,20650.0,22,154,104,0.0,100,652.2727273,904.1666667,64,8,0.0,4,154,21,11,22,19,6280.0,17395.6,2041.0,0
5987,18200.0,-88888,30,-88888,0.0,21,-88888.0,1521.666667,4,3,17000.0,5,30,4,4,4,5,80.0,190.0,25.0,1
167,81509.09,28,302,155,0.0,164,5939.6875,4798.333333,74,36,17250.0,5,302,58,34,86,98,5589.0,15076.5,1518.0,1
1978,29726.0,13,76,51,0.0,76,-88888.0,4617.647059,20,2,6.0,2,76,14,2,12,11,1554.0,6660.0,740.0,0
4711,75000.0,2,16,14,0.0,4,-88888.0,18750.0,13,2,0.0,4,16,0,0,1,1,37.5,116.25,26.25,0
7264,320039.18,8,102,32,0.0,26,-88888.0,13756.66667,11,17,177039.18,15,64,5,2,17,14,1566.0,3975.23,361.38,0
778,0.19,1,122,68,0.0,10,-88888.0,0.0,11,44,0.19,8,92,8,0,77,58,1115.5,4777.25,517.33,1
6274,18819.75,20,126,74,0.0,77,4430.27451,4351.147399,63,13,14300.23,4,126,87,55,85,76,6150.0,22796.0,2870.0,0
7601,36106.0,3,158,82,161.6,46,-88888.0,1687.5,6,11,26306.0,9,108,14,7,47,60,656.5,2696.7,217.15,1
1589,7000.0,0,35,13,0.0,28,200.0,406.557377,0,0,0.0,3,35,30,23,23,25,2082.5,5635.0,0.0,0
3241,50000.0,2,87,42,0.0,67,1050.0,60070.27027,14,8,29000.0,4,87,15,9,13,17,125.0,540.0,42.5,1
3846,17736.7,6,82,21,0.0,32,51891.66667,28534.31373,36,12,36.7,7,73,2,2,3,4,189.0,401.62,72.56,1
945,537111.74,70,1564,266,0.0,331,3995.087719,6537.309417,114,100,51.74,11,760,84,44,164,152,22843.5,67235.25,6208.04,1
2014,10200.0,-88888,6,-88888,0.0,6,-88888.0,5906.25,8,5,3700.0,1,6,2,2,1,1,8.0,10.0,4.0,1
3168,30659.33,3,79,61,0.0,46,159.0,4950.529412,4,2,159.33,11,78,0,0,1,1,56.0,316.0,12.0,0
3606,658940.8,127,469,202,0.0,217,60575.065,48907.66804,341,147,137590.65,7,414,0,0,1,1,11786.0,20044.5,4855.5,0
6190,1125.0,7,40,28,0.0,16,-88888.0,1033.333333,11,10,25.0,5,40,1,0,1,2,12.0,41.6,7.2,1
7342,120930.0,-88888,178,20,0.0,7,16833.33333,15150.0,6,6,930.0,7,132,1,1,13,19,96.0,827.43,80.0,1
6126,91851.0,29,452,138,0.0,60,-88888.0,25271.42857,54,105,1.0,13,234,1,1,9,11,702.0,1551.0,354.0,1
4596,1307.39,1,78,34,0.0,1,-88888.0,-88888.0,7,2,1307.39,6,77,0,-88888,0,0,12.0,28.4,2.2,0
6753,94.31,8,154,38,214.2,3,-88888.0,1666.666667,16,20,34.31,10,89,2,1,15,16,1368.5,3105.9,476.0,0
2574,4984.0,16,48,28,0.0,48,250.0,552.0833333,27,4,25.5,2,48,23,10,14,17,442.0,1092.0,117.0,1
5668,14020.0,4,61,46,0.0,27,-88888.0,1374.782609,19,0,0.0,3,61,12,4,14,13,181.5,701.25,90.75,0
233,51785.25,21,471,273,0.0,125,73670.0,33489.28571,59,49,51785.25,9,430,44,15,97,116,10344.0,29394.2,3060.1,0
5993,22600.0,3,40,32,0.0,17,944.4444444,1183.6,9,5,500.0,4,40,11,9,9,12,264.0,818.4,85.8,0
1257,25300.0,4,31,18,0.0,27,1500.0,538.75,16,4,1150.0,3,31,40,22,30,33,1095.0,6624.75,438.0,0
6451,258103.36,15,386,285,0.0,226,2011.923077,3890.224719,39,2,31200.37,4,386,41,24,55,50,16600.0,56307.2,2855.2,0
3438,1114068.88,9,170,82,0.0,159,17213.96226,57948.95192,17,1,560.02,3,170,28,12,23,19,4888.0,18236.0,893.0,0
6003,4000.0,15,45,26,0.0,6,35.71428571,137.8787879,56,40,2050.0,6,45,7,7,13,15,336.0,549.0,133.5,1
3609,9000.0,-88888,9,8,0.0,1,4500.0,4500.0,3,4,0.0,3,9,0,0,2,3,76.0,481.33,50.67,0
3544,6034.0,25,134,101,0.0,57,-88888.0,2080.0,59,16,134.0,6,133,35,3,42,59,1587.0,4094.0,368.0,1
5442,48.0,3,53,29,0.0,15,-88888.0,-88888.0,4,2,48.0,11,33,2,-88888,2,2,237.0,819.62,79.0,0
7955,21200.93,24,141,93,0.0,63,2052.173913,1442.857143,52,21,0.93,4,141,34,13,43,33,2814.0,6780.4,991.6,1
5453,51.0,4,32,12,0.0,6,-88888.0,-88888.0,7,6,51.0,6,30,1,-88888,2,5,245.0,618.33,75.83,1
5375,50505.4,4,80,47,0.0,36,2719.111111,2511.628571,8,7,305.4,4,80,0,0,1,1,81.0,464.4,29.7,1
